Advocate_ID,Full_Name,Bar_Council_Enrollment_Number,City,State,Primary_Court_Level,Court_Name,Specialization,Years_of_Experience,Total_Cases_Handled,Cases_Won,Cases_Lost,Recent_Indian_Case_Type,Average_Case_Duration_Months,Client_Rating_Out_of_5
INDADV00001,Lakshit Varughese,IN4677/2030,Gudivada,Maharashtra,District Court,District Court Panipat,Criminal Law,38,367,227,140,Consumer Protection Case,40,4.9
INDADV00002,Samar Chana,IN0923/2029,Bhusawal,Rajasthan,High Court,Rajasthan High Court,Criminal Law,21,64,64,0,Land Acquisition Dispute,23,4.8
INDADV00003,Mishti Behl,IN0154/2039,Phagwara,Haryana,District Court,District Court Dindigul,Family Law,5,129,108,21,IPC Section 420 - Cheating,32,3.9
INDADV00004,Saksham Chaudhary,IN5122/2010,Bhusawal,Madhya Pradesh,High Court,Madhya Pradesh High Court,Corporate Law,14,1474,864,610,Property Partition Suit,33,4.1
INDADV00005,Arhaan Suresh,IN7000/2094,Morena,Karnataka,District Court,District Court Pallavaram,Labour Law,16,39,37,2,Consumer Protection Case,9,3.8
INDADV00006,Gokul Lal,IN4498/2002,Firozabad,Delhi,District Court,District Court Nagercoil,Environmental Law,25,797,275,522,Divorce Petition,39,3.6
INDADV00007,Shaan Sura,IN9613/2024,Hubli–Dharwad,Maharashtra,District Court,District Court Bokaro,Constitutional Law,6,392,87,305,GST Tax Dispute,27,4.0
INDADV00008,Lakshit Reddy,IN7485/2095,Medininagar,Rajasthan,High Court,Rajasthan High Court,Environmental Law,21,575,532,43,Divorce Petition,18,3.5
INDADV00009,Dharmajan Edwin,IN3423/2046,Jaunpur,West Bengal,District Court,District Court Noida,Constitutional Law,19,752,360,392,Public Interest Litigation,40,4.0
INDADV00010,Mahika Jha,IN9321/2020,Jaipur,Punjab,District Court,District Court Jalandhar,Labour Law,5,1434,1278,156,Cyber Fraud Case,33,4.1
INDADV00011,Aarna Sem,IN4341/2020,Tiruvottiyur,Karnataka,District Court,District Court Udupi,Civil Law,15,1327,1209,118,IPC Section 302 - Murder,36,4.1
INDADV00012,Miraya Madan,IN5514/2028,Aligarh,Karnataka,District Court,District Court Jalgaon,Constitutional Law,1,134,27,107,Writ Petition (Article 226),26,3.2
INDADV00013,Purab Dave,IN7745/2086,Chennai,Tamil Nadu,District Court,District Court Avadi,Corporate Law,13,771,717,54,Property Partition Suit,48,4.4
